Latitude,Longitude,Population,G25-1,G25-2,G25-3,G25-4,G25-5,G25-6,G25-7,G25-8,G25-9,G25-10,G25-11,G25-12,G25-13,G25-14,G25-15,G25-16,G25-17,G25-18,G25-19,G25-20,G25-21,G25-22,G25-23,G25-24,G25-25
44.356128,51.341052,Kazakhstan_Sarmatian_IA:AIG002.AG,0.103579,0.052808,0.047894,0.052326,-0.023389,0.036535,-0.005875,-0.000692,-0.025975,-0.026971,-0.006333,0.00015,-0.000446,-0.01913,0.016286,0.019093,0.008475,0.022044,0.001006,0.012006,-0.001497,0.016693,-0.000986,0.003615,-0.008981
44.356128,51.341052,Kazakhstan_Sarmatian_IA:AIG003.AG,0.111547,0.052808,0.036204,0.065246,-0.030159,0.026774,0.002585,-0.002538,-0.023111,-0.032802,-0.003735,0.002398,-0.010704,-0.022983,0.016694,0.020551,0.000782,0.002407,0.000754,-0.00075,-0.010107,-0.000124,0.000863,0.00723,-0.005149
44.356128,51.341052,Kazakhstan_Sarmatian_IA_o4:AIG005.AG,0.095611,0.097491,-0.067505,0.00323,-0.06832,0.020359,0.013161,-0.003461,-0.030679,-0.007654,-0.00682,-0.010341,-0.001933,-0.005918,0.013029,0.024264,-0.015646,-0.001647,-0.003142,-0.017133,-0.018093,-0.013725,0.014173,0.002169,0.004311
44.356128,51.341052,Kazakhstan_Sarmatian_IA:AIG006.AG,0.105855,0.052808,0.031678,0.085272,-0.01908,0.027052,0.00047,0.001615,-0.023111,-0.025513,-0.003248,-0.014837,-0.005352,-0.018166,0.020629,0.006232,-0.0103,0.005701,-0.005908,-0.012256,-0.007861,-0.006306,-0.015529,0.003735,0.00491
48.94,74.76,Kazakhstan_Tasmola_EIA:AKB001.AG,0.080814,-0.138112,0.064111,0.046189,-0.031083,0.004462,0.000235,-0.000231,-0.006954,-0.018224,-0.016401,-0.005695,0.000446,-0.020231,0.015608,0.003845,0.002217,-0.003927,-0.005782,0.002751,-0.021462,0.005935,-0.006162,-0.001205,-0.00479
49.33,75.12,Kyrgyzstan_Korgantas_IA_1:BDY001.AG,0.064879,-0.204121,0.057322,0.013889,-0.059396,-0.015897,0.011281,0.013153,-0.003272,-0.008201,-0.012179,-0.002847,0.000892,-0.013349,0.009229,0.000265,-0.016298,0.000127,0.003394,0.00075,-0.018343,0.002968,-0.007272,-0.005422,-0.001796
49.33,75.12,Kyrgyzstan_Korgantas_IA_2:BDY002.AG,0.034147,-0.349342,0.07995,-0.003876,-0.0834,-0.037371,0.00752,0.037614,-0.001023,0.006014,-0.02176,0.0003,0.001189,-0.002064,0.004072,-0.005701,0.007953,-0.018497,0.000503,0.020385,-0.022835,-0.00272,-0.021815,-0.011327,-0.005269
49.33,75.12,Kyrgyzstan_Korgantas_IA_3:BDY003.AG,0.080814,-0.111708,0.055437,0.044251,-0.028313,-0.000279,0.008695,0.007384,-0.008181,-0.009476,-0.024358,-0.002098,0.007582,-0.029314,0.008415,0.009679,0.002477,-0.006968,-0.004148,0.002251,-0.021712,0.009274,0.000493,0.013375,0.005389
51.1387083,75.7151889,Kazakhstan_Birlik_Tasmola_EIA:BIR012.AG,0.033009,-0.412305,0.081458,-0.027455,-0.080938,-0.054105,0.018096,0.018922,0.010431,0.014761,-0.027444,0.003147,-0.000892,0.001514,-0.004207,0.008221,0.000261,-0.00038,0.014832,0.011255,-0.028575,-0.008037,-0.013804,0.004579,-0.006945
47.41,74.77,Kazakhstan_Tasmola_EIA:BKT001.AG,0.08992,-0.061947,0.05506,0.052649,-0.040931,0.011435,0.00329,0.002308,-0.02127,-0.019864,-0.006171,0.001798,0.001784,-0.019818,0.007057,0.00411,-0.011083,0.005448,-0.006034,0.003877,-0.019341,0.003957,-0.005053,0.002771,-0.001197
53.305983,67.648166,Kazakhstan_Botai_Eneolithic:BOT14.SG,0.102441,-0.091398,0.091263,0.174421,-0.087401,0.035977,-0.049352,-0.05769,-0.033337,-0.076175,0.029879,-0.008842,0.019326,-0.066059,0.021308,0.021082,-0.009518,-0.003421,-0.002891,0.000125,-0.04517,0.016817,0.021199,0.006868,-0.00491
53.305983,67.648166,Kazakhstan_Botai_Eneolithic:BOT15.SG,0.101303,-0.064994,0.090886,0.180881,-0.078476,0.043786,-0.037132,-0.049152,-0.030679,-0.082188,0.020948,-0.010641,0.023042,-0.065508,0.02443,0.027711,-0.014864,-0.000127,-0.002011,-0.005878,-0.028325,0.02201,0.019843,0.001325,-0.008742
